Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Cov Num,Date Added
"Advances in COVID-19: the virus, the pathogenesis, and evidence-based control and therapeutic strategies","Zhou, Guangbiao; Chen, Saijuan; Chen, Zhu","Since the outbreak of the COVID-19 pandemic in early December 2019, 81 174 confirmed cases and 3242 deaths have been reported in China as of March 19, 2020. The Chinese people and government have contributed huge efforts to combat this disease, resulting in significant improvement of the situation, with 58 new cases (34 were imported cases) and 11 new deaths reported on March 19, 2020. However, as of March 19, 2020, the COVID-19 pandemic continues to develop in 167 countries/territories outside of China, and 128 665 confirmed cases and 5536 deaths have been reported, with 16 498 new cases and 817 new deaths occurring in last 24 hours. Therefore, the world should work together to fight against this pandemic. Here, we review the recent advances in COVID-19, including the insights in the virus, the responses of the host cells, the cytokine release syndrome, and the therapeutic approaches to inhibit the virus and alleviate the cytokine storm. By sharing knowledge and deepening our understanding of the virus and the disease pathogenesis, we believe that the community can efficiently develop effective vaccines and drugs, and the mankind will eventually win this battle against this pandemic.",2020,,Frontiers of Medicine 2020,,,01-Sep,,10.1007/S11684-020-0773-X,19571,#98919,Zhou 2020,,,98919,22-04-20
Intelligent technologies help operating mobile cabin hospitals effectively cope with COVID-19,"Zhou, Ying; Wang, Lingling; Ding, Lieyun; Tang, Zhouping",,2020,,Frontiers of Engineering Management 2020,,,01-Feb,,10.1007/S42524-020-0113-5,19553,#98922,Zhou 2020,,,98922,22-04-20
Coronavirus SARS-CoV-2: filtering fact from fiction in the infodemic: Q&A with virologist Professor Urs Greber,"Ruffell, Daniela",,2020,,FEBS Lett,,,,32246722,10.1002/1873-3468.13784,23273,#98939,Ruffell 2020,,,98939,22-04-20
Reorganize and survive-a recommendation for healthcare services affected by COVID-19-the ophthalmology experience,"Petrovski, Beáta Éva; Lumi, Xhevat; Znaor, Ljubo; Ivastinović, Domagoj; Confalonieri, Filippo; Petrovič, Mojca Globočnik; Petrovski, Goran",,2020,,"Eye (London, England)",,,,,10.1038/s41433-020-0871-7,19378,#98966,Petrovski 2020,,,98966,22-04-20
Socially distanced school-based nutrition program feeding under COVID 19 in the rural Niger Delta,"Francis, Nabie Nubari; Pegg, Scott","The Niger Delta region of Nigeria is widely recognized as a complex and contentious space for oil exploration and production. Over the past few decades, the Niger Delta has witnessed large-scale mass peaceful mobilizations and rebellion-like conditions from violent militia groups. Oil companies have been implicated in violence perpetrated by Nigerian security forces. Local host communities have suffered greatly from corruption, political instability, violence and the environmental devastation of their farmlands and fishing grounds. Oil companies have increasingly turned to corporate social responsibility (CSR) initiatives to attempt to build or repair relations with oil-producing communities. There are also governmental and non-governmental humanitarian actors supporting various initiatives in the oil-producing areas. This article highlights the challenges that one long running micro-scale development project has faced due to the COVID 19 disease outbreak and the closure of all schools in Rivers State, Nigeria in March 2020. The school closures have halted some initiatives, but our weekly nutritional program feedings have continued in new, socially distanced forms.",2020,,The Extractive Industries and Society,,,,,https://doi.org/10.1016/j.exis.2020.04.007,19545,#98973,Francis 2020,,,98973,22-04-20
Janus kinase inhibitor baricitinib is not an ideal option for management of COVID-19,"Praveen, D.; Puvvada, Ranadheer Chowdary; M, Vijey Aanandhi","The Wuhan outbreak of novel Corona virus infection has been the global focus since December 2019. This infection has become a global pandemic. It is highly important to understand the virology of the pathogen and to explore the therapeutic options for management of this pandemic. Drug repurposing strategies are being considered for management of COVID 19. Among the identified drugs, Baricitinib has become a keen interest for researchers because of its ability to inhibit the viral assembly by the prevention of Clarithrin associated endocytosis. We tried to explore the reasons on why Baricitinib is not an ideal option for COVID 19.",2020,,Int J Antimicrob Agents,,,,32259575,10.1016/j.ijantimicag.2020.105967,22875,#99031,Praveen 2020,,,99031,22-04-20
SARS-Cov-2 infection: Response of human immune system and possible implications for the rapid test and treatment,"di Mauro, Gabriella; Cristina, Scavone; Concetta, Rafaniello; Francesco, Rossi; Annalisa, Capuano","The new coronavirus outbreak is an ongoing pandemic that is caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The new coronavirus SARS-Cov-2 belongs to the subfamily of beta-coronaviruses and shares 79.5% of the genetic sequence of SARS-CoV, the causative agent of the epidemic that started in 2002 and ended in 2004. Considering the clinical impact of the new outbreak, it is highly important to study the potential responses of the human immune system during the SARS-CoV-2 infection as well as the role of virus-specific T cells and by B-lymphocytes. Moreover, specific data on the production of IgG and IgM is crucial to allow the rapid identification of the infection. In this paper we also described the importance of sensitive and specific rapid test for SARS-CoV-2. Indeed, this test represents an important immunological tool aimed at identifying the precise phase of the infection in order to undertake a more appropriate pharmacological treatment. Lastly, we provided an overview of pharmacological treatments aimed to reduce inflammatory processes underlying the infection and the need for the discovery of a new vaccine against SARS-CoV-2.",2020,,Int Immunopharmacol,,,,32311668,10.1016/j.intimp.2020.106519,20258,#99050,diMauro 2020,,,99050,22-04-20
Covid-19 and Namaste,"Kulkarni, Prashanth; Kodad, Shruthi; Mahadevappa, Manjappa",,2020,,Influenza and Other Respiratory Viruses,n/a,n/a,,,10.1111/irv.12746,19411,#99069,Kulkarni 2020,,,99069,22-04-20
Challenges in the Care of IBD Patients During the CoViD-19 Pandemic: Report From a “Red Zone” Area in Northern Italy,"Occhipinti, Vincenzo; Pastorelli, Luca","In December 2019, the first, troublesome news concerning a novel and highly infective viral pneumonia spreading from Wuhan (China) came to our attention.1 It was difficult at that time to predict, let alone imagine, the magnitude of how severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) would change the way we practice medicine (not to mention our lives) only 2 months later. The first report on February 20 of a severe case of coronavirus disease 19 (CoViD-19) in a fit, young male from Codogno, a town just south of Milan, was rapidly followed by the identification of clusters of infected patients in the densely populated Lombardia region (approximately 10 million inhabitants with a density of 421.6 inhabitants/sq km) and in nearby regions within Northern Italy.2 Our hospital, Policlinico San Donato Research Hospital, is a university hospital located in the southeastern part of the Milan metropolitan area, where it represents one of the largest clinics in the territory. Our daily activity as gastroenterologists was immediately affected. We promptly implemented a strategy of phone call screenings before any gastrointestinal (GI) consults or endoscopic procedures, questioning patients about their geographic provenance (prohibiting patients from coming from the so-called red zone, the area surrounding Codogno), suspicious symptoms, and high-risk contacts. We had just started to contemplate how to safely continue our endoscopic activities in the absence of clear indications regarding the use of personal protective equipment (PPE) when within a few days the regional health system was overwhelmed by a massive number of CoViD-19 patients. Lombardia rapidly became one of the most severely affected regions of the world, with 54,802 infected individuals, identified by performing 176,953 nasopharyngeal swabs, and 10,022 deaths by April 9.3 On March 8, the entire region was declared a red zone, and 2 days later a complete national lockdown was declared. Within the entire national territory, all nonurgent consults and procedures were cancelled and indefinitely postponed. With routine activities halted, all gastroenterologists from our GI unit except one have been reassigned to provide care to CoViD-19 patients. One after another, seven CoViD-19 units were created and staffed with doctors of various specialties to manage >200 dedicated hospital beds. A small internal medicine ward, dedicated to care for the few noninfected patients accessing the hospital for urgent medical conditions, was preserved and also used for GI emergencies. In 2 weeks our hospital, like many others in Northern Italy, was almost completely converted into a CoViD-19 hospital. Every possible effort was made to quickly increase the capacity of intensive care units (ICUs) to accommodate the alarming numbers of very sick CoViD-19 patients, including constructing new units in unused areas of the hospital or converting surgical rooms into ICUs. These drastic measures were implemented in a very short period of time, and although necessary to counteract the devastation brought about by the outbreak, they also posed tremendous challenges to the care of patients with GI conditions, including those with inflammatory bowel diseases (IBD). Indeed, with severely reduced resources in regard to personnel, equipment, and space to manage patients, our IBD center had to face several critical issues.",,,Inflammatory Bowel Diseases,,,,,10.1093/IBD/IZAA084,19421,#99070,,,,99070,22-04-20
"SARS-CoV-2, SARS-CoV, and MERS-COV: A comparative overview","Rabaan, Ali A.; Al-Ahmed, Shamsah H.; Haque, Shafiul; Sah, Ranjit; Tiwari, Ruchi; Malik, Yashpal Singh; Dhama, Kuldeep; Yatoo, M. Iqbal; Bonilla-Aldana, D. Katterine; Rodriguez-Morales, Alfonso J.","The recent outbreak of SARS-CoV-2 that started in Wuhan, China, has now spread to several other countries and is in its exponential phase of spread. Although less pathogenic than SARS-CoV, it has taken several lives and taken down the economies of many countries. Before this outbreak, the most recent coronavirus outbreaks were the SARS-CoV and the MERS-CoV outbreaks that happened in China and Saudi Arabia, respectively. Since the SARS-CoV-2 belongs to the same family as of SARS-CoV and MERS-CoV, they share several similarities. So, this review aims at understanding the new scenario of SARS-CoV-2 outbreak and compares the epidemiology, clinical presentations, and the genetics of these coronaviruses. Studies reveal that SARS-CoV-2 is very similar in structure and pathogenicity with SARS-CoV, but the most important structural protein, i.e., the spike protein (S), is slightly different in these viruses. The presence of a furin-like cleavage site in SARS-CoV-2 facilitates the S protein priming and might increase the efficiency of the spread of SARS-CoV-2 as compared to other beta coronaviruses. So, furin inhibitors can be targeted as potential drug therapies for SARS-CoV.",2020,,Infez Med,,,,32275259,,22380,#99075,Rabaan 2020,,,99075,22-04-20
Redistributing of Working Schedules by the Infective Principle – Will The COVID-19 Pandemic Finally Make Us Remember the Names of People We Shake Hands With?,"Marko, Ćurković; Košec, Andro; Petrana, Brečić","The  battle against  this  pandemic  is  putting  enormous  pressure  on  health  care  systemsworldwide, primarily due to the infectiousness of the infective agent and specific health consequences it causes.2,3Most  public  health  measures  are  aimed  at  delaying  the  peak  pandemic  effects  and preventingtheoverflow  and  correspondingcollapse  of  the health  care  systems.2,3Even thoughthis  pandemic  has  been  widely  reported  on  and  discussed  for  several  months,  health care  systems  seems  to  be  ill-prepared,  putting  the  health  care professionalsin  the  center  of complex  personal,  professional  and  societaldemands.1,3-5Underextreme  pressure,many health  care professionalsmay express  various  psychological  problems,  such  as  exhaustion, fatigue, burnout, anxiety and depression,that are underminingtheir abilities to care for their health and safety, as well as health and safety of their colleagues, their close ones, andtheir patients.4,5Although this is especially prevalent among “frontline” health care professionals, other  professionals  may  be  affectedto  a  similar  extentas  pandemic  spreads,its’  dangers become  more  obviousand  competing  interests  arise  driven  by  the  needs  of  other,  non-pandemic  related  health  issues.4,5There  have  been  many  proposals  on  how  to  prevent  and mitigate  these  possible  adverse effectssuch  as  the  introduction  of  different procedures  and guidelines,  availability  of  instrumental  and  psychological  support,  more  appropriate  staffingandshifts scheduling.",2020,,Infection Control & Hospital Epidemiology,,,01-May,,10.1017/ice.2020.155,19980,#99084,Marko 2020,,,99084,22-04-20
Detroit Under Siege: The Enemy Within: The impact of the Covid-19 Collision,"Chopra, Teena; Sobel, Jack","One of the shrinking cities of the United States, Detroit has faced urban decay due to a multitude of socio-economic factors.The dramatic decline in population, loss of industrial and working-classjobs and vanishing businesses hit our city hardin the last several decades.While younger people movedout of the city, themajority of the 700,000 leftbehind,wereold,lacking resources,transportation and heavily dependent on state help. Today, 36% of Detroiters live in poverty –that is 1 in 3 ofthepeople in the city that is home to Motown and world’s automotive center. With the bankruptcy came disintegration of a failing healthcaresystem and in fiscal recovery this critical public health framework and safety did not follow.With a median incomeof$ 26, 000 much below the U.S. average,we have struggled with socioeconomic and healthcare disparities. The social determinants of health are nowhere as glaring and impactful as in Detroit. The highrate of unemployment and medically uninsured andreliance on a dramatically reduced auto industryallserved as a foundation forinvasion by COVID-19.Thelockdown acting as a huge barrier for daily wagers, is an enormous complicating factor in this dire situation.",2020,,Infection Control & Hospital Epidemiology,,,01-Mar,,10.1017/ice.2020.154,19787,#99086,Chopra 2020,,,99086,22-04-20
"Colombian consensus recommendations for diagnosis, management and treatment of the infection by SARS-COV-2/ COVID-19 in health care facilities - Recommendations from expert´s group based and informed on evidence","Gutiérrez, A. B.; Rodríguez-Morales, A. J.; Narváez Mejía Á, J.; García Peña Á, A.; Giraldo Montoya Á, M.; Cortes Muñoz, A. J.; García, A. L.; Ospina Serrano, A. V.; Escobar, B. P.; Acevedo Medina, C. A.; Pardo González, C. A.; Vargas Báez, C. A.; Álvarez Moreno, C. A.; Solórzano Ramos, C. A.; Conde Martin, C. E.; Saavedra Trujillo, C. H.; Poveda Henao, C. M.; Beltrán Arroyave, C. P.; Sedano, D. S.; Medina Ramos, D. C.; Ortiz Marín, D. C.; Rivera Rodríguez, D. E.; Molina Ramírez, D. A.; Suárez Castro, E. M.; Müller, E. Á; Medina, E. L.; Monsalve, E. S.; Guzmán, E. L.; Vergara Vela, E. P.; Buitrago, E. M.; Medina, F. C.; Sierra Matamoros, F. A.; Fredy, O. Guevara P.; Rodríguez Caicedo, G. A.; Moreno, G. C.; Ruiz, G. O.; Roncancio Villamil, G. E.; Ramírez, H. M.; León González, H. L.; Cordero, H. M.; Hurtado, I. C.; Rodríguez Sabogal, I. A.; Gutiérrez, I. F.; Patiño Niño, J. A.; Castellanos, J. E.; Guerra, J. C.; Garzón Herazo, J. R.; García, J. T.; Carrillo Bayona, J. A.; Cortés, J. A.; Daza, J. C.; Rojas Gambasica, J. A.; Valderrama, J. F.; Oñate Gutiérrez, J. M.; Jaramillo Bustamante, J. C.; López Cubillos, J. F.; Osorio Lombana, J. P.; Rojas Hernández, J. P.; Bravo Ojeda, J. S.; Gómez Rincón, J. C.; Ordóñez Díaz, K. M.; Arango, K. O.; Estrada-Orozco, K.; Blanco, L. G.; Rosado, L. M.; Aguiar Martínez, L. G.; de la Barrera, L. I. M.; Villa Sánchez, L. M.; Melgarejo, L. M.; Garay Fernández, M. A.; Gallego, M. P.; Caro Flautero, M. A.; Maya Restrepo, M. A.; Martha, I. Álvarez L.; Leal, N. G.; Opina, N.; Hoyos, P. V.; Pabón, P. R.; Arraut Collazos, P. B.; Giraldo, P. F.; López, P.; Lasso Palomino, R. E.; Beltrán Higuera, S. J.; Valderrama, S. L.; Remolina Granados, S. A.; Cuervo Maldonado, S. I.; Guerrero Lozano, S. J.; Restrepo Gualteros, S. M.; Polo, V. A.; Villamil Gómez, W. E.","The “Asociación Colombiana de Infectología” (ACIN) and the “Instituto de Evaluación de Nuevas Tecnologías de la Salud” (IETS) created a task force to develop recommendations for Covid 19 health care diagnosis, management and treatment informed, and based, on evidence. Theses reccomendations are addressed to the health personnel on the Colombian context of health services.",2020,,Infectio,24,,1-102,,10.1001/jamanetworkopen.2020.0802,19864,#99094,Gutiérrez 2020,,,99094,22-04-20
Corticosteroids for Urological Cancer Care During Coronavirus Disease 2019. Treat or Not to Treat?,"Waterhouse, Jasmin V.; Hull, James H.; Linch, Mark",,2020,,European Urology,,,,,https://doi.org/10.1016/j.eururo.2020.04.027,19257,#99115,Waterhouse 2020,,,99115,22-04-20
"Surgical Volume, Safety, Drug Administration, and Clinical Trials During COVID-19: Single-center Experience in Shanghai, China","Wang, Hongkai; Wu, Junlong; Wei, Yu; Zhu, Yao; Ye, Dingwei",,2020,,European Urology,,,,,https://doi.org/10.1016/j.eururo.2020.04.026,19396,#99116,Wang 2020,,,99116,22-04-20
Balancing the Effects of COVID-19 Against Potential Progression and Mortality in High-risk Prostate Cancer,"Moschovas, Marcio Covas; Sighinolfi, Maria Chiara; Rocco, Bernardo; Bhat, Seetharam; Onol, Fikret; Rogers, Travis; Patel, Vipul",,2020,,European Urology,,,,,https://doi.org/10.1016/j.eururo.2020.04.028,19381,#99119,Moschovas 2020,,,99119,22-04-20
"The influence of preventive strategies on COVID-2019 epidemic in Shenzhen, China","Yang, Kai; Wang, Lingwei; Li, Furong; Chen, Dandan; Li, Xi; Qiu, Chen; Chen, Rongchang",,2020,,The European respiratory journal,,,,,10.1183/13993003.00599-2020,19512,#99126,Yang 2020,,,99126,22-04-20
CANCER IN THE TIME OF COVID: Expert opinion on how to adapt current practice,"Raskin, Jo; Lebeer, Marnix; De Bondt, Charlotte; Wener, Reinier; Janssens, Annelies; van Meerbeeck, Jan P.",,2020,,The European respiratory journal,,,,,10.1183/13993003.00959-2020,19605,#99127,Raskin 2020,,,99127,22-04-20
Short-term Outcomes of Coronavirus Disease 2019 and Risk Factors for Progression,"Long, Li; Zeng, Xiansheng; Zhang, Xu; Xiao, Wei; Guo, E.; Zhan, Wenzhi; Yang, Xuejiao; Li, Chunyan; Wu, Caiyun; Xu, Tingting; Zhan, Chen; Chen, Yuehan; Jiang, Mei; Zhong, Nanshan; Lai, Kefang",,2020,,The European respiratory journal,,,,,10.1183/13993003.00990-2020,19375,#99128,Long 2020,,,99128,22-04-20
Association Between Ages and Clinical Characteristics and Outcomes of Coronavirus Disease 2019,"Liu, Yang; Mao, Bei; Liang, Shuo; Yang, Jia-Wei; Lu, Hai-Wen; Chai, Yan-Hua; Wang, Lan; Zhang, Li; Li, Qiu-Hong; Zhao, Lan; He, Yan; Gu, Xiao-Long; Ji, Xiao-Bin; Li, Li; Jie, Zhi-Jun; Li, Qiang; Li, Xiang-Yang; Lu, Hong-Zhou; Zhang, Wen-Hong; Song, Yuan-Lin; Qu, Jie-Ming; Xu, Jin-Fu",,2020,,The European respiratory journal,,,,,10.1183/13993003.01112-2020,19310,#99129,Liu 2020,,,99129,22-04-20
"The Radiology Department during the COVID-19 pandemic: a challenging, radical change","Politi, Letterio S.; Balzarini, Luca",,2020,,European Radiology,,,01-Mar,,10.1007/s00330-020-06871-0,19283,#99135,Politi 2020,,,99135,22-04-20
Key elements of preparedness for pandemic coronavirus disease 2019 (COVID-19) in nuclear medicine units,"Assadi, Majid; Gholamrezanezhad, Ali; Jokar, Narges; Keshavarz, Mohsen; Picchio, Maria; Seregni, Ettore; Bombardieri, Emilio; Chiti, Arturo",,2020,,European Journal of Nuclear Medicine and Molecular Imaging,,,01-Aug,,10.1007/s00259-020-04780-4,19238,#99144,Assadi 2020,,,99144,22-04-20
Vaccine confidence in the time of COVID-19,"Harrison, Emily A.; Wu, Julia W.","In the early months of the COVID-19 epidemic, some have wondered if the force of this global experience will solve the problem of vaccine refusal that has vexed and preoccupied the global public health community for the last several decades. Drawing on historical and epidemiological analyses, we critique contemporary approaches to reducing vaccine hesitancy and articulate our notion of vaccine confidence as an expanded way of conceptualizing the problem and how to respond to it. Intervening on the rush of vaccine optimism we see pervading present discourse around the COVID-19 epidemic, we call for a re-imagination of the culture of public health and the meaning of vaccine safety regulations. Public confidence in vaccination programs depends on the work they do for the community—social, political, and moral as well as biological. The concept of public health and its programs must be broader than the delivery of the vaccine technology itself. The narrative work and policy actions entailed in actualizing such changes will, we expect, be essential in achieving a true vaccine confidence, however the public reacts to the specific vaccine that may be developed for COVID-19.",2020,,European Journal of Epidemiology 2020,,,01-Jun,,10.1007/S10654-020-00634-3,19366,#99145,Harrison 2020,,,99145,22-04-20
The paramount importance of serological surveys of SARS-CoV-2 infection and immunity,"Goudsmit, Jaap",,2020,,European Journal of Epidemiology,,,01-Mar,,10.1007/s10654-020-00635-2,19529,#99146,Goudsmit 2020,,,99146,22-04-20
Nutrition amid the COVID-19 pandemic: a multi-level framework for action,"Naja, Farah; Hamadeh, Rena",,2020,,European journal of clinical nutrition,,,,,10.1038/s41430-020-0634-3,19289,#99147,Naja 2020,,,99147,22-04-20
Reorganisation of medical oncology departments during the novel coronavirus disease-19 pandemic: a nationwide Italian survey,"Indini, Alice; Aschele, Carlo; Cavanna, Luigi; Clerico, Mario; Daniele, Bruno; Fiorentini, Giammaria; Fioretto, Luisa; Giordano, Monica; Montesarchio, Vincenzo; Ortega, Cinzia; Pinotti, Graziella; Scanni, Alberto; Zamagni, Claudio; Blasi, Livio; Grossi, Francesco","The novel severe acute respiratory syndrome coronavirus-2 pandemic is a global health problem, which started to affect China by the end of 2019. In Europe, Italy has faced this novel disease entity (named novel coronavirus disease [COVID-19]) first and severely. COVID-19 represents a significant hurdle for public health services and a potential harm for patients with cancer. The Collegio Italiano dei Primari Oncologi Medici (CIPOMO) is an Italian association of head physicians in oncology departments, which promotes working and research activities in oncology on a national basis. In the midst of the epidemic in Italy, the CIPOMO promoted a national survey aiming to evaluate the impact of COVID-19 on clinical activity of oncologists and the implementation of containment measures of COVID-19 diffusion. Overall, 122 head physicians participated in this survey, with a homogeneous distribution on the national territory. Results show that the following measures for oncologic patients have been promptly implemented through the whole country: use of protective devices, triage of patients accessing the hospital, delay of non-urgent visits and use of telemedicine. Results of this survey suggest that Italian oncology departments have promptly set a proactive approach to the actual emergency. Oncologists need to preserve the continuum of care of patients, as the benefit of ensuring a well-delivered anti-cancer treatment plan outweighs the risk of COVID-19 infection. International cooperation is an important starting point, as heavily affected nations can serve as an example to find out ways to safely preserve health activity during the pandemic.",2020,,Eur J Cancer,,,,32311643,10.1016/j.ejca.2020.03.024,20263,#99154,Indini 2020,,,99154,22-04-20
Pathogenesis of COVID-19 from a cell biology perspective,"Mason, Robert J.",,2020,,Eur Respir J,,,,32269085,10.1183/13993003.00607-2020,22629,#99194,Mason 2020,,,99194,22-04-20
Anosmia and Dysgeusia in the Absence of Other Respiratory Diseases: Should COVID-19 Infection Be Considered?,"Villalba, Noel Lorenzo; Maouche, Yasmine; Ortiz, Maria Belen Alonso; Sosa, Zaida Cordoba; Chahbazian, Jean Baptiste; Syrovatkova, Aneska; Pertoldi, Pierre; Andres, Emmanuel; Zulfiqar, Abrar-Ahmad","We describe two elderly patients evaluated at emergency departments for anosmia/dysgeusia in the absence of any other respiratory symptoms prior to or upon admission. In the current epidemiological context, clinical and biological work-up led to a diagnosis of COVID-19 infection. Unfortunately, one of the patients died during hospitalization, but the other recovered and was discharged. LEARNING POINTS: In the current epidemiological situation, anosmia and dysgeusia in the absence of other respiratory conditions should be carefully evaluated.Special attention should be given to patients with non-classic COVID-19 symptoms in order to reduce transmission and protect health providers.",2020,,Eur J Case Rep Intern Med,,,,32309267,10.12890/2020_001641,20365,#99286,Villalba 2020,,,99286,22-04-20
Abdominal Pain: A Real Challenge in Novel COVID-19 Infection,"Poggiali, Erika; Ramos, Pau Mateo; Bastoni, Davide; Vercelli, Andrea; Magnacavallo, Andrea","COVID-19 (coronavirus disease 19) is an infectious disease caused by coronavirus 2019-nCoV. Since its detection in China at the end of 2019, the novel coronavirus has rapidly spread throughout the world and has caused an international public health emergency. The most common manifestation is flu-like symptoms. Mild infections usually improve within a few days, but COVID-19 can cause severe pneumonia with acute respiratory distress syndrome and death. Gastrointestinal symptoms are less common but possible and more difficult to recognize as part of a COVID-19 syndrome. In line with the current opinion of the WHO, we strongly believe that preventive measures and early diagnosis of COVID-19 are crucial to interrupt virus spread and avoid local outbreaks. We report the cases of COVID-19 patients admitted to our Emergency Department who complained of gastrointestinal symptoms at admission. LEARNING POINTS: The novel COVID-19 infection is a severe public health problem which is causing an increasing number of deaths worldwide.Although uncommon, there may be a relationship between gastrointestinal symptoms and COVID-19, as reported in recent studies.Early detection and isolation of patients with COVID-19 infection is the only way to control and limit the global spread of this virus.",2020,,Eur J Case Rep Intern Med,,,,32309266,10.12890/2020_001632,20366,#99287,Poggiali 2020,,,99287,22-04-20
[Principles in health policy during the SARS-CoV-2 outbreak - major lessons from South East-Asia],"Zelter, Tamir; Bader, Tarif; Glassberg, Elon; Twig, Gilad",,2020,,Harefuah,,,,32307954,,20397,#99326,Zelter 2020,,,99326,22-04-20
[COVID-19 - 2019],"Shoenfeld, Yehuda",,2020,,Harefuah,,,,32307952,,20399,#99327,Shoenfeld 2020,,,99327,22-04-20
[Ethical decision-making framework for the allocation of scarce mechanical ventilators during the COVID-19 crisis],"Peled Raz, Maya",,2020,,Harefuah,,,,32307956,,20395,#99328,PeledRaz 2020,,,99328,22-04-20
[Clinical and epidemiological characteristics of SARS-CoV-2],"Horesh, Adi; Glassberg, Elon; Bader, Tarif; Twig, Gilad",,2020,,Harefuah,,,,32307953,,20398,#99330,Horesh 2020,,,99330,22-04-20
"[COVID-19, THE KIDNEY AND HYPERTENSION]","Angel-Korman, Avital; Brosh, Tal; Glick, Karina; Leiba, Adi","INTRODUCTION: COVID-19, is a new corona virus of the Beta Coronavirus genus which originated in bats. The virus first emerged in China in December 2019 and has rapidly spread since to other areas worldwide. The World Health Organization (WHO) has therefore recently declared it as the source of a pandemic. The disease caused by the virus manifests in most cases as a lower respiratory tract infection leading to fever, cough and dyspnea, while more severe cases can led to respiratory failure and/or multi organ failure. COVID-19 enters the human cell using the ACE2, an enzyme abundant in renal tubular epithelial cells. Theoretically, this may be significant in several ways: acute kidney injury (AKI) as well as proteinuria and/or microhematuria could be associated with the penetration of COVID-19 into the cells. Moreover, medications based on RAAS inhibition, such and ACE inhibitors and ARBs, upregulate the enzyme ACE2 and could therefore hypothetically explain the high prevalence of hypertension and diabetes reported as previous diagnoses in severe cases. In the setting of chronic kidney disease, the risk of infection with COVID-19 is not clear at this time. However, hemodialysis patients represent a unique group of patients, mostly elderly and immunocompromised, for whom dialysis is a life-saving treatment which cannot be stopped. Hence, the COVID-19 pandemic has presented a complex medical and logistic challenge for the medical staff in hospital and community based dialysis units.",2020,,Harefuah,,,,32307955,,20396,#99331,Angel-Korman 2020,,,99331,22-04-20
The COVID-19 pandemic: New global challenges for the haemophilia community,"Hermans, Cedric; Weill, Alain; Pierce, Glenn F.",,2020,,Haemophilia,,,,32246879,10.1111/hae.14001,23258,#99333,Hermans 2020,,,99333,22-04-20
Clinical findings in a patient with haemophilia A affected by COVID-19,"Cui, Dongyan; Zhang, Ai; Liu, Aiguo; Hu, Qun",,2020,,Haemophilia,,,,32239590,10.1111/hae.14000,23587,#99334,Cui 2020,,,99334,22-04-20
French consensus regarding precautions during tracheostomy and post-tracheostomy care in the context of COVID-19 pandemic,"Schultz, P.; Morvan, J. B.; Fakhry, N.; Moriniere, S.; Vergez, S.; Lacroix, C.; Bartier, S.; Barry, B.; Babin, E.; Couloigner, V.; Atallah, I.","Tracheostomy post-tracheostomy care are regarded as at high risk for contamination of health care professionals with the new coronavirus (SARS-CoV-2). Considering the rapid spread of the infection, all patients in France must be considered as potentially infected by the virus. Nevertheless, patients without clinical or radiological (CT scan) markers of COVID-19, and with negative nasopharyngeal sample within 24h of surgery, are at low risk of being infected. Instructions for personal protection include specific wound dressings and decontamination of all material used. The operating room should be ventilated after each tracheostomy and the pressure of the room should be neutral or negative. Percutaneous tracheostomy is to be preferred over surgical cervicotomy in order to reduce aerosolization and to avoid moving patients from the intensive care unit to the operating room. Ventilation must be optimized during the procedure, to limit patient oxygen desaturation. Drug assisted neuromuscular blockage is advised to reduce coughing during tracheostomy tube insertion. An experienced team is mandatory to secure and accelerate the procedure as well as to reduce risk of contamination.",2020,,Eur Ann Otorhinolaryngol Head Neck Dis,,,,32307265,10.1016/j.anorl.2020.04.006,20429,#99339,Schultz 2020,,,99339,22-04-20
Optimizing status Epilepticus care during the COVID-19 pandemic,"Kinney, Michael O.; Brigo, Francesco; Kaplan, Peter W.",,2020,,Epilepsy & Behavior,,,107124-107124,,https://doi.org/10.1016/j.yebeh.2020.107124,19353,#99345,Kinney 2020,,,99345,22-04-20
Prevention of exposure and dispersion of COVID-19 using air purifiers: challenges and concerns,"Ham, Seunghon","The outbreak of COVID-19 is now a pandemic. The Korean government has declared the highest infectious-disease alert as a 'red' and the World Health Organization (WHO) has announced the highest level (Phase 6). Control of COVID-19 is an unprecedented worldwide public health problem that governments and individuals must overcome. Recently, infection cluster occurred in a call center located in Seoul. The Ministry of Employment and Labor has decided to support call center companies use the cost of installing partitions, air purifiers, hand sanitizers and masks to prevent droplet and aerosol infections. Air purifiers are expected to be installed on the floor and exhaust stayed on the higher level such as desk or breathing zone of worker. When a worker coughs or releases droplets near a colleague's respiratory system, the droplets can spread throughout the call center space through the air flow. If there is only one infected person, there is a chance that the infection cluster will increase. Installation of air purifiers may cause new problems, so the control to prevent infection should not lead to a new infection. Therefore, using the air purifier to control the COVID-19 should be approached with caution.",2020,,Epidemiol Health,,,,32311865,10.4178/epih.e2020027,20238,#99360,Ham 2020,,,99360,22-04-20
